article,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,mean,std,std%,XYZ
MERINGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,26.0,20.0,6.0,0.0,0.0,0.0,3.0952380952380953,7.265705484705267,234.73817719817015,Z
TRIANGLES,0.0,0.0,7.0,23.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,9.199378861019447,238.502414915319,Z
PAILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,43.0,46.0,0.0,0.0,0.0,0.0,6.238095238095238,14.966311375568667,239.91796861598624,Z
MACARON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,196.0,142.0,21.285714285714285,55.20248441614097,259.3405308140851,Z
TROPEZIENNE FRAMBOISE,0.0,0.0,13.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.5714285714285714,4.178174584330202,265.8838371846493,Z
SABLE F  P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,21.0,6.095238095238095,17.125725566832962,280.96893508085327,Z
CARAMEL NOIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,21.0,4.761904761904762,13.471840118947233,282.9086424978919,Z
TARTELETTE CHOC,0.0,0.0,0.0,6.0,0.0,0.0,9.0,37.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,8.211490207542807,287.4021572639983,Z
GAL FRANGIPANE 6P,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.095238095238095,17.55535463015419,288.01753690096723,Z
GAL POMME 6P,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9523809523809526,8.575990849319924,290.477109412449,Z
GAL FRANGIPANE 4P,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,29.530129891833717,291.14212569413525,Z
GAL POMME 4P,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,13.824409054794558,293.24504055624817,Z
GAL POIRE CHOCO 4P,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,3.4392690253266647,300.9360397160832,Z
RELIGIEUSE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,17.275223105168088,304.85687832649563,Z
VIENNOISE,0.0,0.0,0.0,0.0,0.0,0.0,91.0,121.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.380952380952381,32.167493204283396,309.8703473807116,Z
12 MACARON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,9.0,3.3333333333333335,10.612885250172704,318.3865575051811,Z
PAIN DE MIE,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619047,6.13110725648118,321.883130965262,Z
DELICETROPICAL,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9047619047619047,9.694868549417066,333.75776973403015,Z
BOTTEREAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.523809523809526,81.29552204618595,438.87042749869016,Z
ENTREMETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8095238095238095,8.29227982896771,458.25756949558394,Z
NID DE POULE,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,7.637626158259735,458.2575694955841,Z
