ds,HW_A,HW_A-lo-90,HW_A-hi-90,HW_M,HW_M-lo-90,HW_M-hi-90
2022-09-13,3606.0221755103385,530.2127956551949,6681.831555365482,6134.898927290842,-6595.4887510303015,18865.286605611986
2022-09-14,4989.110855445358,1912.2740127617026,8065.947698129013,8574.668801688995,-4155.71890588359,21305.05650926158
2022-09-15,3263.101534325391,185.22546782759628,6340.977600823186,5555.253684818467,-7175.134102721692,18285.641472358628
2022-09-16,2631.020143089177,-447.906967188771,5709.947253367125,4451.407766853404,-8278.980030498515,17181.795564205324
2022-09-17,2349.881126084668,-730.1089067036919,5429.8711588730275,3963.2083609720116,-8767.179466989552,16693.596188933574
2022-09-18,2238.9448990740448,-842.1199935011987,5320.009791649289,3774.6709378075143,-8955.717019441476,16505.058895056503
2022-09-19,2628.079879732457,-454.07186823244047,5710.231627697354,4473.00316334639,-8257.384835333014,17203.391162025793
2022-09-20,2737.570005325019,-345.68065173680134,5820.820662386839,4675.759370571055,-8054.628644908498,17406.14738605061
2022-09-21,5475.197992626749,2390.836314879908,8559.55967037359,9544.595083995455,-3185.7930721594403,22274.98324015035
2022-09-22,2015.2213409238022,-1070.2635267514445,5100.706208599049,3406.598739254598,-9323.789433895374,16136.986912404569
2022-09-23,1864.4780489053965,-1222.1422353695289,4951.098333180322,3144.0812650286284,-9586.306934048926,15874.469464106181
2022-09-24,2293.204130453787,-794.5638542907182,5380.972115198292,3918.4768177158408,-8811.911571252696,16648.86520668438
2022-09-25,2362.2379426320667,-726.6900834194457,5451.165968683579,4050.160881618628,-8680.227602789637,16780.549366026895
2022-09-26,2021.4005579227305,-1068.699907007795,5111.501022853256,3446.3099582579443,-9284.078625913811,16176.698542429698
2022-09-27,3061.116698527863,-30.168659353483235,6152.402056409209,5321.483199311618,-7408.905861590755,18051.87226021399
2022-09-28,5377.897233015548,2285.414471848377,8470.37999418272,9489.385507586649,-3241.0036152347657,22219.774630408065
2022-09-29,1279.8374254423402,-1813.8553053704377,4373.530156255118,2128.1125414382977,-10602.276646328519,14858.501729205116
2022-09-30,1628.2018021254548,-1466.7135204772599,4723.117124728169,2763.6799426840957,-9981.254969734455,15508.614855102645
2022-10-01,2316.5101662734264,-779.6404258060734,5412.660758352926,4016.350915672324,-8735.546223398564,16768.24805474321
2022-10-02,1446.636782793787,-1650.7618117480465,4544.03537733562,2446.2083215552625,-10315.287627797252,15207.704270907778
2022-10-03,1435.6925698045534,-1662.966815238261,4534.351954847368,2431.8909824633133,-10388.109193650753,15251.89115857738
2022-10-04,2704.1401131519287,-395.7929052362415,5804.073131540099,4744.146467717768,-8086.605736230222,17574.89867166576
2022-10-05,3614.977219638068,513.7576705035763,6716.19676877256,6408.216434895338,-6428.162141978236,19244.595011768914
2022-10-06,2031.8324586914978,-1070.686572895987,5134.351490278983,3537.299387366505,-9326.489031209474,16401.087805942483
2022-10-07,1881.0739920899046,-1222.7575277103224,4984.9055118901315,3268.8678241438624,-9600.683389160395,16138.41903744812
2022-10-08,244.80384303582923,-2860.353224535609,3349.9609106072676,274.3522292210319,-12601.950585451785,13150.65504389385
2022-10-09,1689.4637425946357,-1417.0319858491252,4795.959471038397,2930.952576116334,-9971.609333112221,15833.514485344891
2022-10-10,1738.4242569236196,-1369.4232987784296,4846.271812625669,3027.213155504083,-9880.932982759996,15935.359293768162
2022-10-11,1907.2071798932761,-1202.0054224784012,5016.419782264953,3344.2549181492236,-9572.643802354623,16261.15363865307
2022-10-12,3738.1034440614094,627.5125228445631,6848.694365278256,6717.202856563766,-6246.900177720964,19681.305890848496
2022-10-13,818.3291015427637,-2293.6534631961567,3930.3116662816847,1345.5032843373797,-11632.088854728296,14323.095423403054
