article,month,Quantity
GD NANTAIS,11,16.0
GD NANTAIS,12,9.0
GD PLATEAU SALE,12,2.0
GRAND FAR BRETON,01,21.0
GRAND FAR BRETON,02,66.0
GRAND FAR BRETON,03,70.0
GRAND FAR BRETON,04,72.0
GRAND FAR BRETON,05,145.0
GRAND FAR BRETON,06,112.0
GRAND FAR BRETON,07,347.0
GRAND FAR BRETON,08,429.0
GRAND FAR BRETON,09,141.0
GRAND FAR BRETON,10,54.0
GRAND FAR BRETON,11,20.0
GRAND FAR BRETON,12,9.0
GRANDE SUCETTE,01,1.0
GRANDE SUCETTE,02,23.0
GRANDE SUCETTE,03,41.0
GRANDE SUCETTE,04,41.0
GRANDE SUCETTE,05,35.0
GRANDE SUCETTE,06,44.0
GRANDE SUCETTE,07,53.0
GRANDE SUCETTE,08,45.0
GRANDE SUCETTE,09,14.0
GRANDE SUCETTE,10,6.0
GRANDE SUCETTE,11,31.0
GRANDE SUCETTE,12,10.0
GUERANDAIS,03,2.0
GUERANDAIS,07,1.0
KOUIGN AMANN,01,110.0
KOUIGN AMANN,02,108.0
KOUIGN AMANN,03,132.0
KOUIGN AMANN,04,175.0
KOUIGN AMANN,05,318.0
KOUIGN AMANN,06,175.0
KOUIGN AMANN,07,388.0
KOUIGN AMANN,08,592.0
KOUIGN AMANN,09,180.0
KOUIGN AMANN,10,74.0
KOUIGN AMANN,11,71.0
KOUIGN AMANN,12,60.0
MACARON,07,109.0
MACARON,08,196.0
MACARON,09,142.0
MERINGUE,02,12.0
MERINGUE,03,1.0
MERINGUE,04,26.0
MERINGUE,05,20.0
MERINGUE,06,6.0
MILLES FEUILLES,01,20.0
MILLES FEUILLES,02,55.0
MILLES FEUILLES,03,95.0
MILLES FEUILLES,04,95.0
MILLES FEUILLES,05,93.0
MILLES FEUILLES,06,95.0
MILLES FEUILLES,07,143.0
MILLES FEUILLES,08,203.0
MILLES FEUILLES,09,125.0
MILLES FEUILLES,10,68.0
MILLES FEUILLES,11,37.0
MILLES FEUILLES,12,23.0
MOISSON,01,195.0
MOISSON,02,246.0
MOISSON,03,264.0
MOISSON,04,342.0
MOISSON,05,361.0
MOISSON,06,321.0
MOISSON,07,455.0
MOISSON,08,515.0
MOISSON,09,292.0
MOISSON,10,146.0
MOISSON,11,112.0
MOISSON,12,113.0
NANTAIS,01,40.0
NANTAIS,02,67.0
NANTAIS,03,81.0
NANTAIS,04,82.0
NANTAIS,05,116.0
NANTAIS,06,84.0
NANTAIS,07,115.0
NANTAIS,08,5.0
NANTAIS,10,0.0
NANTAIS,12,1.0
NID DE POULE,04,35.0
NOIX JAPONAISE,01,9.0
NOIX JAPONAISE,02,52.0
NOIX JAPONAISE,03,50.0
NOIX JAPONAISE,04,47.0
NOIX JAPONAISE,05,71.0
NOIX JAPONAISE,06,17.0
NOIX JAPONAISE,07,64.0
NOIX JAPONAISE,08,55.0
NOIX JAPONAISE,09,25.0
NOIX JAPONAISE,10,20.0
NOIX JAPONAISE,11,22.0
NOIX JAPONAISE,12,15.0
PAILLE,02,6.0
PAILLE,03,36.0
PAILLE,04,43.0
PAILLE,05,46.0
PAIN,01,175.0
PAIN,02,222.0
PAIN,03,213.0
PAIN,04,247.0
PAIN,05,232.0
PAIN,06,227.0
PAIN,07,325.0
PAIN,08,270.0
PAIN,09,177.0
PAIN,10,130.0
PAIN,11,133.0
PAIN,12,110.0
PAIN AU CHOCOLAT,01,1227.0
PAIN AU CHOCOLAT,02,1576.0
PAIN AU CHOCOLAT,03,1781.0
PAIN AU CHOCOLAT,04,2122.0
PAIN AU CHOCOLAT,05,2660.0
PAIN AU CHOCOLAT,06,2303.0
PAIN AU CHOCOLAT,07,3988.0
PAIN AU CHOCOLAT,08,4960.0
PAIN AU CHOCOLAT,09,1903.0
PAIN AU CHOCOLAT,10,1061.0
PAIN AU CHOCOLAT,11,808.0
PAIN AU CHOCOLAT,12,847.0
PAIN AUX RAISINS,01,137.0
PAIN AUX RAISINS,02,164.0
PAIN AUX RAISINS,03,203.0
PAIN AUX RAISINS,04,245.0
PAIN AUX RAISINS,05,267.0
PAIN AUX RAISINS,06,282.0
PAIN AUX RAISINS,07,398.0
PAIN AUX RAISINS,08,470.0
PAIN AUX RAISINS,09,234.0
PAIN AUX RAISINS,10,144.0
PAIN AUX RAISINS,11,88.0
PAIN AUX RAISINS,12,97.0
PAIN BANETTE,01,167.0
PAIN BANETTE,02,203.0
PAIN BANETTE,03,221.0
PAIN BANETTE,04,254.0
PAIN BANETTE,05,296.0
PAIN BANETTE,06,284.0
PAIN BANETTE,07,474.0
PAIN BANETTE,08,543.0
PAIN BANETTE,09,263.0
PAIN BANETTE,10,128.0
PAIN BANETTE,11,102.0
PAIN BANETTE,12,86.0
PAIN CHOCO AMANDES,01,94.0
PAIN CHOCO AMANDES,02,112.0
PAIN CHOCO AMANDES,03,168.0
PAIN CHOCO AMANDES,04,167.0
PAIN CHOCO AMANDES,05,185.0
PAIN CHOCO AMANDES,06,153.0
PAIN CHOCO AMANDES,07,252.0
PAIN CHOCO AMANDES,08,300.0
PAIN CHOCO AMANDES,09,195.0
PAIN CHOCO AMANDES,10,108.0
PAIN CHOCO AMANDES,11,99.0
PAIN CHOCO AMANDES,12,72.0
PAIN DE MIE,01,4.0
PAIN DE MIE,04,5.0
PAIN DE MIE,08,1.0
PAIN DE MIE,10,1.0
PAIN DE MIE,11,1.0
PAIN DE MIE,12,28.0
PAIN GRAINES,06,1.0
PAIN GRAINES,07,2.0
PAIN NOIR,12,1.0
PAIN S/SEL,01,12.0
PAIN S/SEL,02,11.0
PAIN S/SEL,03,3.0
PAIN S/SEL,04,2.0
PAIN S/SEL,05,5.0
PAIN S/SEL,06,21.0
PAIN S/SEL,07,19.0
PAIN S/SEL,08,17.0
PAIN S/SEL,09,18.0
PAIN S/SEL,10,12.0
PAIN S/SEL,11,8.0
PAIN S/SEL,12,12.0
PAIN SUISSE PEPITO,08,4.0
PAIN SUISSE PEPITO,09,17.0
PALET BRETON,04,28.0
PALET BRETON,05,39.0
PALET BRETON,06,13.0
PALET BRETON,07,86.0
PALET BRETON,08,80.0
PALET BRETON,09,19.0
PALMIER,02,2.0
PALMIER,03,4.0
PARIS BREST,01,51.0
PARIS BREST,02,89.0
PARIS BREST,03,123.0
PARIS BREST,04,119.0
PARIS BREST,05,148.0
PARIS BREST,06,93.0
PARIS BREST,07,162.0
PARIS BREST,08,177.0
PARIS BREST,09,113.0
PARIS BREST,10,71.0
PARIS BREST,11,79.0
PARIS BREST,12,49.0
PATES,01,1.0
PATES,07,1.0
PLAQUE TARTE 25P,07,2.0
PLAT,03,1.0
PLAT,04,3.0
PLAT,07,2.0
PLAT,08,3.0
PLAT 6.50E,02,0.0
PLAT 7.00,03,11.0
PLAT 7.00,04,7.0
PLAT 7.00,05,13.0
PLAT 7.00,06,22.0
PLAT 7.00,07,27.0
PLAT 7.00,08,18.0
PLAT 7.00,09,12.0
PLAT 7.60E,02,2.0
PLAT 7.60E,03,18.0
PLAT 7.60E,04,23.0
PLAT 7.60E,05,20.0
PLAT 7.60E,06,53.0
PLAT 7.60E,07,72.0
PLAT 7.60E,08,67.0
PLAT 7.60E,09,65.0
PLAT 8.30E,03,4.0
PLAT 8.30E,04,11.0
PLAT 8.30E,05,18.0
PLAT 8.30E,06,31.0
PLAT 8.30E,07,28.0
PLAT 8.30E,08,33.0
PLAT 8.30E,09,21.0
"PLATPREPARE5,50",07,3.0
"PLATPREPARE6,00",07,1.0
"PLATPREPARE6,50",07,3.0
"PLATPREPARE6,50",11,5.0
"PLATPREPARE7,00",07,9.0
"PLATPREPARE7,00",11,8.0
PT NANTAIS,01,15.0
PT NANTAIS,02,6.0
PT NANTAIS,03,10.0
PT NANTAIS,04,61.0
PT NANTAIS,05,32.0
PT NANTAIS,06,41.0
PT NANTAIS,07,126.0
PT NANTAIS,08,279.0
PT NANTAIS,09,63.0
PT NANTAIS,10,52.0
PT NANTAIS,11,38.0
PT NANTAIS,12,28.0
PT PLATEAU SALE,12,4.0
QUIM BREAD,01,132.0
QUIM BREAD,02,161.0
QUIM BREAD,03,179.0
QUIM BREAD,04,161.0
QUIM BREAD,05,220.0
QUIM BREAD,06,199.0
QUIM BREAD,07,345.0
QUIM BREAD,08,370.0
