article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std,XYZ
PLAT,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.75,1.1636866703140785,X
PLAT 6.50E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
PLAT 7.00,0.0,0.0,11.0,7.0,13.0,22.0,27.0,18.0,12.0,0.0,0.0,0.0,9.166666666666666,9.181805680559547,X
PLAT 7.60E,0.0,2.0,18.0,23.0,20.0,53.0,72.0,67.0,65.0,0.0,0.0,0.0,26.666666666666668,28.0337098666746,Z
PLAT 8.30E,0.0,0.0,4.0,11.0,18.0,31.0,28.0,33.0,21.0,0.0,0.0,0.0,12.166666666666666,12.779106211138384,Y
"PLATPREPARE5,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.82915619758885,X
"PLATPREPARE6,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833,X
"PLATPREPARE6,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.6666666666666666,1.5456030825826172,X
"PLATPREPARE7,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,1.4166666666666667,3.1743328257901515,X
PT NANTAIS,15.0,6.0,10.0,61.0,32.0,41.0,126.0,279.0,63.0,52.0,38.0,28.0,62.583333333333336,72.11386636578447,Z
PT PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,1.1055415967851332,X
QUIM BREAD,132.0,161.0,179.0,161.0,220.0,199.0,345.0,370.0,180.0,82.0,77.0,75.0,181.75,91.06510949132311,Z
REDUCTION SUCREES 12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6666666666666666,1.9293061504650375,X
REDUCTION SUCREES 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.2763853991962833,X
RELIGIEUSE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,0.0,0.0,0.0,9.916666666666666,21.336425557144185,Y
ROYAL,4.0,33.0,31.0,26.0,61.0,5.0,6.0,25.0,46.0,7.0,3.0,40.0,23.916666666666668,18.39138536259723,Y
ROYAL 4P,2.0,2.0,8.0,11.0,15.0,0.0,13.0,14.0,7.0,5.0,0.0,1.0,6.5,5.408326913195984,X
ROYAL 6P,1.0,1.0,1.0,10.0,16.0,3.0,14.0,12.0,3.0,1.0,2.0,2.0,5.5,5.5,X
SABLE F  P,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,21.0,0.0,0.0,0.0,10.666666666666666,20.977501175200906,Y
