article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
"PLATPREPARE7,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,1.5422142494612014,3.0855556560965325
PT NANTAIS,15.0,6.0,10.0,61.0,32.0,41.0,126.0,279.0,63.0,52.0,38.0,28.0,63.26408569279413,69.3312912306543
PT PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3884910664370333,1.0819184998260338
QUIM BREAD,132.0,161.0,179.0,161.0,220.0,199.0,345.0,370.0,180.0,82.0,77.0,75.0,175.2725078208088,90.76835851575875
REDUCTION SUCREES 12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.7568552012236932,1.8839062233366823
REDUCTION SUCREES 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09712276660925832,0.27047962495650846
RELIGIEUSE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,0.0,0.0,0.0,10.732363730272203,20.724009874194046
ROYAL,4.0,33.0,31.0,26.0,61.0,5.0,6.0,25.0,46.0,7.0,3.0,40.0,23.522003716375995,17.73110672032682
ROYAL 4P,2.0,2.0,8.0,11.0,15.0,0.0,13.0,14.0,7.0,5.0,0.0,1.0,6.4220233509425695,5.204288988976803
ROYAL 6P,1.0,1.0,1.0,10.0,16.0,3.0,14.0,12.0,3.0,1.0,2.0,2.0,5.5,5.284229075567875
SABLE F  P,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,21.0,0.0,0.0,0.0,11.403154845847682,20.340949619389306
SACHET DE CROUTON,8.0,3.0,6.0,5.0,14.0,14.0,28.0,19.0,2.0,7.0,3.0,12.0,9.891584882132731,7.144491973241513
SACHET DE VIENNOISERIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09712276660925832,0.27047962495650846
SACHET VIENNOISERIE,27.0,55.0,58.0,55.0,66.0,34.0,69.0,52.0,26.0,29.0,27.0,11.0,40.67409251987289,18.493903303358277
SAND JB,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466542191430117,1.087224369522542
SAND JB EMMENTAL,101.0,102.0,138.0,147.0,177.0,205.0,254.0,294.0,214.0,81.0,46.0,33.0,144.25762247476177,77.54993460000502
SANDWICH COMPLET,169.0,165.0,271.0,312.0,316.0,353.0,295.0,389.0,298.0,141.0,105.0,74.0,230.60482711424828,102.9712381580718
SAVARIN,17.0,55.0,52.0,43.0,94.0,57.0,42.0,37.0,22.0,17.0,23.0,8.0,37.77053785601366,22.38575521251754
SEIGLE,84.0,82.0,106.0,130.0,138.0,116.0,216.0,258.0,112.0,57.0,47.0,76.0,114.30687011392327,59.54193566813634
SPECIAL BREAD,344.0,419.0,395.0,498.0,577.0,487.0,848.0,845.0,451.0,186.0,175.0,231.0,437.37744398953686,214.2172391966907
SPECIAL BREAD KG,26.0,35.0,34.0,38.0,39.0,42.0,74.0,85.0,36.0,21.0,15.0,12.0,36.84841407664614,20.502977953563313
ST HONORE,0.0,0.0,0.0,0.0,0.0,12.0,26.0,54.0,14.0,4.0,0.0,0.0,9.629875368246445,15.136525150744797
SUCETTE,31.0,51.0,83.0,94.0,75.0,88.0,249.0,222.0,49.0,68.0,29.0,22.0,87.0876055529225,67.25411598406119
